,invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,payment_method,rating,dtme,time_of_day,day_name,customer_id
43,228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,Cash,7.6,2019-03-04,evening,Monday,25
44,617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,Cash,7.2,2019-03-16,evening,Saturday,28
45,132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,Cash,9.5,2019-03-09,evening,Saturday,13
46,370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,Credit card,8.4,2019-02-27,evening,Wednesday,17
47,727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,Ewallet,4.1,2019-02-06,afternoon,Wednesday,15
48,669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,Credit card,8.1,2019-02-10,afternoon,Sunday,17
49,574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,Ewallet,7.9,2019-03-19,evening,Tuesday,27
50,326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,Cash,9.5,2019-02-03,morning,Sunday,28
51,162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,Cash,8.5,2019-02-10,afternoon,Sunday,1
52,616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,Ewallet,6.5,2019-03-22,afternoon,Friday,15
53,778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,Credit card,6.1,2019-01-25,afternoon,Friday,29
54,242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,Ewallet,6.5,2019-03-07,morning,Thursday,24
55,399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,Cash,8.2,2019-02-28,evening,Thursday,31
56,106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,Cash,5.8,2019-03-27,morning,Wednesday,4
57,635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,Ewallet,6.6,2019-02-07,morning,Thursday,12
58,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,Cash,5.4,2019-01-20,afternoon,Sunday,1
59,120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,Cash,9.3,2019-03-12,evening,Tuesday,34
60,285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,Credit card,10.0,2019-02-15,evening,Friday,26
61,803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,Ewallet,7.0,2019-02-24,morning,Sunday,36
62,347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,Ewallet,10.0,2019-02-03,afternoon,Sunday,15
63,199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,Credit card,8.6,2019-03-06,afternoon,Wednesday,5
64,853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,Cash,7.6,2019-02-14,afternoon,Thursday,16
65,877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,Cash,5.8,2019-03-13,evening,Wednesday,4
66,838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,Ewallet,6.7,2019-02-10,afternoon,Sunday,33
67,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,Ewallet,9.9,2019-01-07,afternoon,Monday,15
68,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,Cash,6.4,2019-01-24,morning,Thursday,10
69,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,Cash,4.3,2019-02-02,evening,Saturday,1
70,393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,Credit card,9.6,2019-01-06,afternoon,Sunday,35
71,796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,Cash,5.9,2019-02-11,evening,Monday,34
72,510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,Ewallet,4.0,2019-03-05,evening,Tuesday,15
73,841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,Cash,8.7,2019-03-09,evening,Saturday,31
74,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,Ewallet,9.4,2019-01-22,morning,Tuesday,12
75,732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,Credit card,5.4,2019-01-13,evening,Sunday,32
76,263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,Credit card,8.6,2019-01-09,afternoon,Wednesday,29
77,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,Credit card,5.7,2019-01-12,afternoon,Saturday,2
78,829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,Ewallet,6.6,2019-03-05,evening,Tuesday,27
79,756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,Cash,6.0,2019-01-22,evening,Tuesday,31
80,870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,Credit card,5.5,2019-01-21,afternoon,Monday,32
81,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,Ewallet,6.4,2019-01-26,evening,Saturday,21
82,480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,Ewallet,6.6,2019-01-23,evening,Wednesday,36
83,787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,Credit card,8.3,2019-02-23,evening,Saturday,26
84,360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,Cash,6.6,2019-03-09,morning,Saturday,28
85,730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,Ewallet,4.0,2019-03-05,afternoon,Tuesday,33
86,362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,Cash,9.9,2019-03-25,morning,Monday,34
87,633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,Credit card,7.3,2019-03-27,evening,Wednesday,5
88,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,Cash,5.7,2019-01-02,evening,Wednesday,10
89,318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,Cash,6.1,2019-02-27,evening,Wednesday,19
90,565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,Cash,7.1,2019-01-23,morning,Wednesday,25
91,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,Ewallet,8.2,2019-01-26,evening,Saturday,33
92,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,Ewallet,5.1,2019-01-10,evening,Thursday,3
93,152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,Credit card,8.6,2019-03-12,afternoon,Tuesday,17
94,512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,Credit card,6.6,2019-02-06,evening,Wednesday,35
95,594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,Ewallet,7.2,2019-03-08,evening,Friday,12
96,766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,Ewallet,5.1,2019-03-29,morning,Friday,24
97,871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,Cash,4.1,2019-02-09,afternoon,Saturday,31
98,865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,Ewallet,9.3,2019-03-23,morning,Saturday,12
99,733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,Cash,7.4,2019-03-05,evening,Tuesday,22
100,163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,Cash,4.1,2019-03-26,evening,Tuesday,28
101,189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,Cash,7.2,2019-03-01,afternoon,Friday,34
102,551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,Cash,4.9,2019-02-01,morning,Friday,31
103,212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,Cash,9.9,2019-03-28,evening,Thursday,10
104,716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,Cash,8.0,2019-03-19,evening,Tuesday,22
105,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,Ewallet,7.3,2019-01-12,afternoon,Saturday,6
106,628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,Credit card,7.9,2019-01-05,evening,Saturday,35
107,630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,Cash,7.4,2019-03-22,evening,Friday,10
108,588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,Cash,4.2,2019-03-24,morning,Sunday,31
109,861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,Cash,9.2,2019-03-03,afternoon,Sunday,28
110,479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,Ewallet,4.6,2019-02-05,morning,Tuesday,15
111,210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,Credit card,7.8,2019-02-05,morning,Tuesday,26
112,227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,Cash,8.4,2019-02-15,afternoon,Friday,19
113,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,Ewallet,4.3,2019-01-19,evening,Saturday,6
114,237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,Credit card,9.5,2019-02-01,evening,Friday,26
115,225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,Credit card,7.1,2019-03-02,afternoon,Saturday,32
116,291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,Ewallet,5.3,2019-03-05,afternoon,Tuesday,18
117,659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,Ewallet,5.2,2019-01-16,afternoon,Wednesday,18
118,642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,Ewallet,6.0,2019-02-02,evening,Saturday,9
119,378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,Ewallet,4.1,2019-01-20,evening,Sunday,24
120,638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,Credit card,5.2,2019-02-14,evening,Thursday,8
121,659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,Credit card,6.5,2019-01-12,afternoon,Saturday,29
122,219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,Credit card,4.2,2019-03-09,evening,Saturday,17
123,336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,Credit card,4.6,2019-03-13,evening,Wednesday,29
124,268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,Ewallet,7.3,2019-03-09,afternoon,Saturday,15
125,668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,Credit card,4.5,2019-03-10,evening,Sunday,8
126,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,Cash,9.0,2019-01-27,afternoon,Sunday,7
127,189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,Credit card,5.9,2019-01-08,evening,Tuesday,32
128,663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,Ewallet,8.5,2019-01-08,afternoon,Tuesday,27
129,549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,Ewallet,7.2,2019-02-08,morning,Friday,21
130,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,Cash,7.5,2019-01-25,afternoon,Friday,19
131,802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,Cash,8.3,2019-03-06,evening,Wednesday,1
132,695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,Cash,7.4,2019-02-10,evening,Sunday,19
133,590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,Credit card,8.8,2019-02-17,afternoon,Sunday,17
134,483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,Ewallet,5.3,2019-03-08,evening,Friday,33
135,597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,Cash,6.2,2019-02-18,evening,Monday,34
136,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,Credit card,8.8,2019-01-18,evening,Friday,8
137,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,Cash,9.8,2019-02-18,afternoon,Monday,1
138,241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,Cash,8.2,2019-02-16,afternoon,Saturday,22
139,575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,Ewallet,9.2,2019-03-16,evening,Saturday,12
140,731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,Credit card,5.4,2019-01-23,afternoon,Wednesday,26
141,280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,Cash,8.1,2019-01-25,afternoon,Friday,28
142,338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,Cash,9.1,2019-02-05,evening,Tuesday,25
143,488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,Credit card,8.4,2019-02-22,morning,Friday,26
144,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,Ewallet,8.0,2019-01-21,evening,Monday,9
145,458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,Credit card,9.5,2019-03-08,evening,Friday,32
146,685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,Ewallet,9.2,2019-02-10,afternoon,Sunday,3
147,568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,Credit card,5.6,2019-03-19,afternoon,Tuesday,35
148,262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,Credit card,6.2,2019-03-06,afternoon,Wednesday,17
149,238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,Credit card,4.9,2019-03-27,afternoon,Wednesday,11
150,608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,Credit card,4.8,2019-03-23,evening,Saturday,14
151,584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,Credit card,7.3,2019-03-11,evening,Monday,29
152,746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,Credit card,7.4,2019-01-29,morning,Tuesday,11
153,214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,Ewallet,9.9,2019-02-07,evening,Thursday,33
154,400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,Cash,9.3,2019-01-28,afternoon,Monday,31
155,782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,Credit card,9.0,2019-02-20,afternoon,Wednesday,5
156,279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,Cash,6.1,2019-01-04,evening,Friday,16
157,307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,Ewallet,9.7,2019-03-07,afternoon,Thursday,24
158,743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,Ewallet,6.0,2019-03-30,afternoon,Saturday,18
159,423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,Ewallet,10.0,2019-03-27,evening,Wednesday,24
160,894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,Credit card,8.3,2019-01-19,evening,Saturday,32
161,275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,Cash,6.0,2019-02-25,evening,Monday,10
162,101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,Credit card,7.0,2019-03-13,evening,Wednesday,11
163,423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,Ewallet,6.5,2019-01-30,evening,Wednesday,36
164,548-46-9322,B,Mandalay,Normal,Male,Food and beverages,39.9,10,Credit card,5.9,2019-02-20,afternoon,Wednesday,23
165,505-02-0892,B,Mandalay,Member,Male,Health and beauty,42.57,8,Ewallet,5.6,2019-02-25,afternoon,Monday,18
166,234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,Cash,4.8,2019-01-16,afternoon,Wednesday,34
167,687-47-8271,A,Yangon,Normal,Male,Fashion accessories,98.98,10,Credit card,8.7,2019-02-08,evening,Friday,11
168,796-32-9050,A,Yangon,Normal,Male,Food and beverages,51.28,6,Cash,6.5,2019-01-19,evening,Saturday,10
169,105-31-1824,A,Yangon,Member,Male,Sports and travel,69.52,7,Credit card,8.5,2019-02-01,afternoon,Friday,5
170,249-42-3782,A,Yangon,Normal,Male,Health and beauty,70.01,5,Ewallet,5.5,2019-01-03,morning,Thursday,12
171,316-55-4634,B,Mandalay,Member,Male,Food and beverages,80.05,5,Credit card,9.4,2019-01-26,afternoon,Saturday,17
172,733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories,20.85,8,Cash,6.3,2019-03-03,evening,Sunday,34
173,608-27-6295,B,Mandalay,Member,Male,Electronic accessories,52.89,6,Credit card,9.8,2019-01-19,evening,Saturday,17
174,414-12-7047,B,Mandalay,Normal,Male,Food and beverages,19.79,8,Ewallet,8.7,2019-01-18,afternoon,Friday,24
175,827-26-2100,A,Yangon,Member,Male,Home and lifestyle,33.84,9,Ewallet,8.8,2019-03-21,evening,Thursday,6
176,175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,Credit card,9.6,2019-03-03,evening,Sunday,5
177,139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,Credit card,4.8,2019-02-13,morning,Wednesday,32
178,407-63-8975,A,Yangon,Normal,Male,Food and beverages,73.88,6,Ewallet,4.4,2019-03-23,evening,Saturday,12
179,342-65-4817,C,Naypyitaw,Member,Male,Health and beauty,86.8,3,Ewallet,9.9,2019-01-28,evening,Monday,30
180,130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,Cash,5.7,2019-02-09,morning,Saturday,34
181,434-83-9547,C,Naypyitaw,Member,Male,Food and beverages,38.47,8,Cash,7.7,2019-01-23,morning,Wednesday,28
182,851-28-6367,A,Yangon,Member,Male,Sports and travel,15.5,10,Ewallet,8.0,2019-03-23,morning,Saturday,6
183,824-88-3614,C,Naypyitaw,Normal,Male,Health and beauty,34.31,8,Ewallet,5.7,2019-01-25,afternoon,Friday,36
184,586-25-0848,A,Yangon,Normal,Female,Sports and travel,12.34,7,Credit card,6.7,2019-03-04,morning,Monday,8
185,895-66-0685,B,Mandalay,Member,Male,Food and beverages,18.08,3,Ewallet,8.0,2019-03-05,evening,Tuesday,18
186,305-14-0245,B,Mandalay,Member,Female,Home and lifestyle,94.49,8,Ewallet,7.5,2019-03-03,evening,Sunday,15
187,732-04-5373,B,Mandalay,Member,Male,Home and lifestyle,46.47,4,Cash,7.0,2019-02-08,morning,Friday,16
188,400-60-7251,A,Yangon,Normal,Male,Home and lifestyle,74.07,1,Ewallet,9.9,2019-02-10,afternoon,Sunday,12
189,593-65-1552,C,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,Credit card,5.9,2019-01-28,evening,Monday,32
190,284-34-9626,B,Mandalay,Normal,Female,Home and lifestyle,77.04,3,Credit card,7.2,2019-02-11,morning,Monday,20
191,437-58-8131,B,Mandalay,Normal,Female,Fashion accessories,73.52,2,Ewallet,4.6,2019-01-15,afternoon,Tuesday,21
192,286-43-6208,C,Naypyitaw,Normal,Female,Food and beverages,87.8,9,Cash,9.2,2019-03-16,evening,Saturday,31
193,641-43-2399,B,Mandalay,Normal,Male,Home and lifestyle,25.55,4,Ewallet,5.7,2019-01-26,evening,Saturday,24
194,831-07-6050,A,Yangon,Normal,Male,Electronic accessories,32.71,5,Credit card,9.9,2019-03-19,morning,Tuesday,11
195,556-86-3144,C,Naypyitaw,Member,Female,Fashion accessories,74.29,1,Cash,5.0,2019-01-13,evening,Sunday,25
196,848-24-9445,C,Naypyitaw,Member,Male,Health and beauty,43.7,2,Cash,4.9,2019-03-26,evening,Tuesday,28
197,856-22-8149,A,Yangon,Normal,Female,Home and lifestyle,25.29,1,Ewallet,6.1,2019-03-23,morning,Saturday,9
198,699-01-4164,C,Naypyitaw,Normal,Male,Health and beauty,41.5,4,Credit card,8.2,2019-03-12,evening,Tuesday,35
199,420-11-4919,C,Naypyitaw,Member,Female,Food and beverages,71.39,5,Credit card,5.5,2019-02-17,evening,Sunday,26
200,606-80-4905,C,Naypyitaw,Member,Female,Sports and travel,19.15,6,Credit card,6.8,2019-01-29,morning,Tuesday,26
201,542-41-0513,B,Mandalay,Member,Female,Electronic accessories,57.49,4,Cash,6.6,2019-03-15,morning,Friday,13
202,426-39-2418,C,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,Cash,9.8,2019-01-14,morning,Monday,34
203,875-46-5808,B,Mandalay,Member,Male,Health and beauty,25.9,10,Ewallet,8.7,2019-02-06,afternoon,Wednesday,18
204,394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5,Credit card,5.4,2019-02-15,afternoon,Friday,17
205,749-24-1565,A,Yangon,Normal,Female,Health and beauty,23.03,9,Ewallet,7.9,2019-01-03,afternoon,Thursday,9
206,672-51-8681,C,Naypyitaw,Member,Female,Electronic accessories,66.65,9,Credit card,9.7,2019-01-04,evening,Friday,26
207,263-87-5680,C,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,Ewallet,7.8,2019-03-18,evening,Monday,27
208,573-58-9734,B,Mandalay,Normal,Female,Fashion accessories,30.37,3,Ewallet,5.1,2019-03-28,afternoon,Thursday,21
209,817-69-8206,B,Mandalay,Normal,Female,Electronic accessories,99.73,9,Credit card,6.5,2019-03-02,evening,Saturday,20
210,888-02-0338,A,Yangon,Normal,Male,Electronic accessories,26.23,9,Ewallet,5.9,2019-01-25,evening,Friday,12
211,677-11-0152,C,Naypyitaw,Normal,Female,Food and beverages,93.26,9,Cash,8.8,2019-01-16,evening,Wednesday,31
212,142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,Ewallet,4.9,2019-03-20,evening,Wednesday,24
213,656-16-1063,B,Mandalay,Normal,Male,Sports and travel,46.42,3,Credit card,4.4,2019-01-04,afternoon,Friday,23
214,891-58-8335,B,Mandalay,Member,Female,Sports and travel,29.61,7,Cash,6.5,2019-03-11,afternoon,Monday,13
